Player Id, Team Id, Player Name, Last Name, Shortened Name, Player Number, Games Played, Attempted Passes, Throwing Attempts Per Point, Throwing Attempts >30 Yards,  Completed Passes, Completions Per Point, Completions >30 Yards, Incompletions, Incompletions Per Point, Incompletions >30 Yards, Completion Percentage, >30 Yards Completion %, Receptions, Goals Scored, Goal Scores Per Point, Assists, Assists Per Point, Goals Against, Goals Against per Point, Throwing Yards, Thorwing Yards Per Point, Receiving Yards, Receiving Yards Per Point, Involvement Yards, Involvement Yards Per Point, Involvement Yards per OPoss, Percent Involvement Yards Throwing, Average Yard Per Throw Attempt, Average Yard Per Involvement (attempted throws + receptions), Involvment Yards per Turn, Touches Per Turnover, Average Yard per Catch, OLine Points Played, DLine Points Played, Total Points Played,Points Per Game,  O Plus Minus, D Plus Minus, Total Plus Minus, Percent Points OLine, Percent Points DLine, O Possessions Played, D Possessions Played, Percent Possessions Offensive, Percent Possessions Defensive, Offensive Usage Rate, Blocks, Interceptions, Blocks and Interceptions, Nearest Defender on Away Throwaway, Home Goals Scored While On Field, Average Number OPossessions Played Per Team Goal, Goals Against Per DPossession Played,Inverse Goals Against Per DPossession Played, Blocks Intercepts Per DPossession Played, Yards Against,Yards Against Ratable Share, Inverse Yards Against Ratable Share, Defensive DisUsage, Inverse Defensive Disusage
1372952566, 743#1372952298, 13Malecek, null, 13Ma,13,13,56,0.718,12,54,0.692,10,2,0.026,2,0.96428573,0.8333333,36,2,0.026,8,0.103,3,0.038,741.936,9.512,71.123,0.912,813.059,10.424,15.942,0.913,13.249,9.034,406.53,29,1.976,1,77,78,6,1,-21,-20,0.013,0.987,51,95,0.349,0.651,0.133,3,1,4,1,30,1.7,0.032,0.968,0.042,387.764,0.102,0.898,0.147,0.853
1372952585, 743#1372952298, 14Mont-Butler, null, 14Mo,14,11,24,0.471,1,24,0.471,1,0,0,0,1,1,20,2,0.039,0,0,1,0.02,145.912,2.861,60.268,1.182,206.18,4.043,5.287,0.708,6.08,4.686,0,0,3.013,1,50,51,4.636,1,4,5,0.02,0.98,39,61,0.39,0.61,0.115,0,0,0,1,28,1.3928572,0.016,0.984,0,74.295,0.037,0.963,0.159,0.841
1372952596, 743#1372952298, 16Quella, null, 16Qu,16,13,21,0.292,0,20,0.278,0,1,0.014,0,0.95238096,0,23,5,0.069,0,0,10,0.139,33.098,0.46,328.133,4.557,361.231,5.017,6.337,0.092,1.576,8.401,361.23,26,14.267,1,71,72,5.538,-1,-5,-6,0.014,0.986,57,91,0.385,0.615,0.09,3,2,5,1,35,1.6285714,0.11,0.89,0.055,588.354,0.2,0.8,0.112,0.888
1372952606, 743#1372952298, 17Cooper, null, 17Co,17,13,77,1.1,2,76,1.086,2,1,0.014,0,0.987013,1,72,5,0.071,6,0.086,2,0.029,745.446,10.649,421.434,6.02,1166.88,16.67,13.568,0.639,9.681,7.884,1166.88,82,5.853,61,9,70,5.385,39,-3,36,0.871,0.129,86,44,0.662,0.338,0.133,2,1,3,1,52,1.6538461,0.045,0.955,0.068,106.99,0.084,0.916,0.108,0.892
1372952633, 743#1372952298, 18Foster, null, 18Fo,18,13,28,0.384,3,27,0.37,2,1,0.014,1,0.96428573,0.6666667,43,14,0.192,5,0.068,2,0.027,119.145,1.632,691.249,9.469,810.394,11.101,9.534,0.147,4.255,11.577,810.39,42,16.076,68,5,73,5.615,44,-5,39,0.932,0.068,85,42,0.669,0.331,0.075,1,0,1,1,52,1.6346154,0.048,0.952,0.024,170.469,0.142,0.858,0.1,0.9
1372952651, 743#1372952298, 21Herscu, null, 21He,21,11,35,0.778,3,30,0.667,1,5,0.111,2,0.85714287,0.33333334,40,3,0.067,3,0.067,1,0.022,164.58,3.657,377.559,8.39,542.139,12.048,10.229,0.304,4.702,7.745,108.43,7.6,9.439,37,8,45,4.091,27,0,27,0.822,0.178,53,29,0.646,0.354,0.107,1,0,1,0,34,1.5588236,0.034,0.966,0.034,163.306,0.296,0.704,0.163,0.837
1372952659, 743#1372952298, 23Holmes, null, 23Ho,23,7,8,0.216,1,8,0.216,1,0,0,0,1,1,13,5,0.135,1,0.027,1,0.027,55.211,1.492,243.594,6.584,298.805,8.076,10.304,0.185,6.901,14.229,0,0,18.738,0,37,37,5.286,0,1,1,0,1,29,47,0.382,0.618,0.121,1,0,1,1,19,1.5263158,0.021,0.979,0.021,246.766,0.148,0.852,0.095,0.905
1372952672, 743#1372952298, 25McDonnell, null, 25Mc,25,9,9,0.231,0,8,0.205,0,1,0.026,0,0.8888889,0,15,5,0.128,3,0.077,3,0.077,20.15,0.517,301.795,7.738,321.945,8.255,10.385,0.063,2.239,13.998,321.94,14,20.12,0,39,39,4.333,0,-3,-3,0,1,31,52,0.373,0.627,0.135,2,0,2,0,18,1.7222222,0.058,0.942,0.038,206.96,0.11,0.89,0.12,0.88
1372952682, 743#1372952298, 33Wallack, null, 33Wa,33,13,36,0.379,2,35,0.368,1,1,0.011,1,0.9722222,0.5,42,5,0.053,4,0.042,11,0.116,262.444,2.763,332.072,3.495,594.516,6.258,8.144,0.441,7.29,7.721,594.52,41,7.906,1,94,95,7.308,1,-34,-33,0.011,0.989,73,124,0.371,0.629,0.128,7,0,7,5,35,2.0857143,0.089,0.911,0.056,933.231,0.211,0.789,0.15,0.85
1372952703, 743#1372952298, 35MacNaughton, null, 35Ma,35,12,28,0.5,1,25,0.446,1,3,0.054,0,0.89285713,1,32,4,0.071,4,0.071,7,0.125,228.202,4.075,363.87,6.498,592.072,10.573,13.456,0.385,8.15,10.387,197.36,10.67,11.371,0,56,56,4.667,0,-12,-12,0,1,44,78,0.361,0.639,0.158,3,2,5,1,22,2,0.09,0.91,0.064,578.162,0.213,0.787,0.138,0.862
1372952717, 743#1372952298, 38Banerji, null, 38Ba,38,12,19,0.396,3,18,0.375,2,1,0.021,1,0.94736844,0.6666667,23,3,0.062,5,0.104,2,0.042,279.578,5.825,314.639,6.555,594.217,12.38,16.506,0.47,14.715,14.493,594.22,22,13.68,0,48,48,4,0,-4,-4,0,1,36,62,0.367,0.633,0.148,1,0,1,2,22,1.6363636,0.032,0.968,0.016,198.003,0.097,0.903,0.146,0.854
1372952727, 743#1372952298, 77Clark, null, 77Cl,77,12,55,0.696,2,54,0.684,2,1,0.013,0,0.9818182,1,71,16,0.203,5,0.063,1,0.013,387.218,4.901,1188.213,15.041,1575.431,19.942,17.124,0.246,7.04,12.603,1575.43,71,16.735,79,0,79,6.583,63,0,63,1,0,92,27,0.773,0.227,0.114,0,0,0,1,68,1.3529412,0.037,0.963,0,132.418,0.237,0.763,0.132,0.868
1372952737, 743#1372952298, 84Kapinos, null, 84Ka,84,13,80,0.769,9,75,0.721,7,5,0.048,2,0.9375,0.7777778,99,18,0.173,11,0.106,1,0.01,558.831,5.373,1694.381,16.292,2253.212,21.666,18.622,0.248,6.985,12.949,450.64,19.6,17.115,103,1,104,8,79,-1,78,0.99,0.01,121,41,0.747,0.253,0.119,3,2,5,1,86,1.4069767,0.024,0.976,0.122,81.185,0.126,0.874,0.118,0.882
1372952749, 743#1372952298, 88Meyers, null, 88Me,88,12,24,0.333,3,23,0.319,3,1,0.014,0,0.9583333,1,23,2,0.028,7,0.097,3,0.042,316.485,4.396,47.749,0.663,364.234,5.059,6.28,0.869,13.187,7.918,364.23,26,2.076,0,72,72,6,0,-10,-10,0,1,58,95,0.379,0.621,0.095,1,0,1,3,31,1.8709677,0.032,0.968,0.011,300.17,0.086,0.914,0.154,0.846
1372952825, 743#1372952298, 3Stubbs, null, 3Stu,3,10,90,0.957,20,81,0.862,12,9,0.096,8,0.9,0.6,101,19,0.202,14,0.149,3,0.032,1000.961,10.649,1175.213,12.502,2176.174,23.151,18.135,0.46,11.122,11.957,241.8,12.11,11.636,84,10,94,9.4,58,2,60,0.894,0.106,120,57,0.678,0.322,0.134,1,0,1,1,75,1.6,0.053,0.947,0.018,342.004,0.265,0.735,0.186,0.814
1382036638, 743#1372952298, 27 Jack, null, 27 J,27,6,10,0.208,0,10,0.208,0,0,0,0,1,0,10,2,0.042,0,0,1,0.021,34.814,0.725,156.533,3.261,191.347,3.986,5.798,0.182,3.481,9.567,0,0,15.653,0,48,48,8,0,-24,-24,0,1,33,63,0.344,0.656,0.059,3,1,4,0,15,2.2,0.016,0.984,0.063,163.397,0.075,0.925,0.086,0.914
1382019218, 725#1382019196, 0 Durst, null, 0 Du,0,4,17,0.708,0,17,0.708,0,0,0,0,1,0,12,1,0.042,0,0,2,0.083,116.818,4.867,35.659,1.486,152.477,6.353,6.353,0.766,6.872,5.258,0,0,2.972,21,3,24,6,17,-1,16,0.875,0.125,24,11,0.686,0.314,0.068,0,0,0,0,18,1.3333334,0.182,0.818,0,61.581,0.346,0.654,0.108,0.892
1382019239, 725#1382019196, 2 Johnson, null, 2 Jo,2,5,20,0.571,2,19,0.543,2,1,0.029,0,0.95,1,20,2,0.057,4,0.114,0,0,203.021,5.801,139.607,3.989,342.628,9.789,12.69,0.593,10.151,8.785,342.63,22,6.98,2,33,35,7,-2,1,-1,0.057,0.943,27,41,0.397,0.603,0.174,0,0,0,1,17,1.5882353,0,1,0,85.085,0.057,0.943,0.125,0.875
1382019271, 725#1382019196, 3 Roehn, null, 3 Ro,3,5,23,0.622,3,22,0.595,3,1,0.027,0,0.95652175,1,27,5,0.135,3,0.081,0,0,80.509,2.176,470.249,12.709,550.758,14.885,13.113,0.146,3.5,11.24,550.76,28,17.417,36,1,37,7.4,22,-1,21,0.973,0.027,42,18,0.7,0.3,0.102,0,0,0,1,28,1.5,0,1,0,117.663,0.287,0.713,0.236,0.764
1382019332, 725#1382019196, 5 McShane, null, 5 Mc,5,5,25,0.862,8,22,0.759,7,3,0.103,1,0.88,0.875,16,0,0,4,0.138,2,0.069,464.932,16.032,-17.797,-0.614,447.135,15.418,21.292,1.04,18.597,11.767,149.04,8.33,-1.112,0,29,29,5.8,0,-3,-3,0,1,21,33,0.389,0.611,0.262,0,0,0,0,13,1.6153846,0.061,0.939,0,225.485,0.18,0.82,0.217,0.783
1382019350, 725#1382019196, 6 Watson, null, 6 Wa,6,5,64,1.422,9,58,1.289,4,6,0.133,5,0.90625,0.44444445,52,5,0.111,9,0.2,3,0.067,567.294,12.607,228.839,5.085,796.133,17.692,14.217,0.713,8.864,7.238,132.69,11.5,4.401,42,3,45,9,28,3,31,0.933,0.067,56,25,0.691,0.309,0.161,1,0,1,0,37,1.5135136,0.12,0.88,0.04,137.358,0.254,0.746,0.212,0.788
1382019376, 725#1382019196, 7 Sneider, null, 7 Sn,7,5,11,0.393,0,10,0.357,0,1,0.036,0,0.90909094,0,23,9,0.321,0,0,0,0,-24.648,-0.88,521.027,18.608,496.379,17.728,15.512,-0.05,-2.241,15.042,496.38,20,22.653,27,1,28,5.6,17,1,18,0.964,0.036,32,16,0.667,0.333,0.12,0,0,0,0,21,1.5238096,0,1,0,20.449,0.083,0.917,0.129,0.871
