Player Id, Team Id, Player Name, Last Name, Shortened Name, Player Number, Games Played, Attempted Passes, Throwing Attempts Per Point, Throwing Attempts >30 Yards,  Completed Passes, Completions Per Point, Completions >30 Yards, Incompletions, Incompletions Per Point, Incompletions >30 Yards, Completion Percentage, >30 Yards Completion %, Receptions, Goals Scored, Goal Scores Per Point, Assists, Assists Per Point, Goals Against, Goals Against per Point, Throwing Yards, Thorwing Yards Per Point, Receiving Yards, Receiving Yards Per Point, Involvement Yards, Involvement Yards Per Point, Involvement Yards per OPoss, Percent Involvement Yards Throwing, Average Yard Per Throw Attempt, Average Yard Per Involvement (attempted throws + receptions), Involvment Yards per Turn, Touches Per Turnover, Average Yard per Catch, OLine Points Played, DLine Points Played, Total Points Played,Points Per Game,  O Plus Minus, D Plus Minus, Total Plus Minus, Percent Points OLine, Percent Points DLine, O Possessions Played, D Possessions Played, Percent Possessions Offensive, Percent Possessions Defensive, Offensive Usage Rate, Blocks, Interceptions, Blocks and Interceptions, Nearest Defender on Away Throwaway, Home Goals Scored While On Field, Average Number OPossessions Played Per Team Goal, Goals Against Per DPossession Played,Inverse Goals Against Per DPossession Played, Blocks Intercepts Per DPossession Played, Yards Against,Yards Against Ratable Share, Inverse Yards Against Ratable Share, Defensive DisUsage, Inverse Defensive Disusage
1382015934, 437#1382014938, 42 Clancy, null, 42 C,42,15,36,0.424,2,32,0.376,2,4,0.047,0,0.8888889,1,40,10,0.118,4,0.047,4,0.047,292.422,3.44,435.123,5.119,727.545,8.559,6.554,0.402,8.123,10.105,181.89,11.5,10.878,39,46,85,5.667,23,-8,15,0.459,0.541,111,113,0.496,0.504,0.069,0,1,1,2,51,2.1764705,0.035,0.965,0.009,292.019,0.129,0.871,0.122,0.878
1382015984, 437#1382014938, 44 ruden, null, 44 r,44,15,79,0.718,7,70,0.636,4,9,0.082,3,0.886076,0.5714286,98,17,0.155,9,0.082,5,0.045,513.864,4.671,1180.582,10.733,1694.446,15.404,10.59,0.303,6.505,10.086,188.27,10.67,12.047,58,52,110,7.333,34,-8,26,0.527,0.473,160,144,0.526,0.474,0.112,2,0,2,9,68,2.3529413,0.035,0.965,0.014,466.297,0.153,0.847,0.121,0.879
1382016012, 437#1382014938, 51 Desmond , null, 51 D,51,15,64,0.688,3,54,0.581,0,10,0.108,3,0.84375,0,74,12,0.129,6,0.065,6,0.065,200.018,2.151,1179.711,12.685,1379.729,14.836,11.693,0.145,3.125,10.779,137.97,7.6,15.942,38,55,93,6.2,30,-11,19,0.409,0.591,118,121,0.494,0.506,0.11,4,3,7,6,57,2.0701754,0.05,0.95,0.058,342.706,0.12,0.88,0.186,0.814
1382016073, 437#1382014938, 66 narayan, null, 66 n,66,15,110,1.078,11,105,1.029,9,5,0.049,2,0.95454544,0.8181818,101,9,0.088,17,0.167,4,0.039,597.038,5.853,1052.649,10.32,1649.687,16.173,11.783,0.362,5.428,8.008,329.94,23.8,10.422,40,62,102,6.8,20,6,26,0.392,0.608,140,130,0.519,0.481,0.148,8,0,8,6,65,2.1538463,0.031,0.969,0.062,357.331,0.133,0.867,0.155,0.845
1382016124, 437#1382014938, 71 daryani, null, 71 d,71,6,25,0.676,8,21,0.568,4,4,0.108,4,0.84,0.5,33,7,0.189,6,0.162,3,0.081,262.873,7.105,476.216,12.871,739.089,19.975,16.424,0.356,10.515,13.687,184.77,8,14.431,16,21,37,6.167,10,3,13,0.432,0.568,45,41,0.523,0.477,0.134,0,0,0,4,25,1.8,0.073,0.927,0,134.043,0.14,0.86,0.126,0.874
1382016165, 437#1382014938, 77 finney, null, 77 f,77,15,155,1.292,14,137,1.142,9,18,0.15,5,0.88387096,0.64285713,119,5,0.042,12,0.1,3,0.025,1299.74,10.831,405.509,3.379,1705.249,14.21,11.002,0.762,8.385,6.661,94.74,8.89,3.408,41,79,120,8,29,-11,18,0.342,0.658,155,153,0.503,0.497,0.166,2,2,4,9,74,2.0945945,0.02,0.98,0.026,466.544,0.13,0.87,0.136,0.864
1381977640, 724#1381977598, 00_LauraM, null, 00_L,0,6,15,0.405,2,11,0.297,1,4,0.108,1,0.73333335,0.5,20,3,0.081,5,0.135,3,0.081,162.63,4.395,327.015,8.838,489.645,13.234,13.99,0.332,10.842,15.795,122.41,4.5,16.351,0,37,37,6.167,0,-7,-7,0,1,35,53,0.398,0.602,0.147,2,0,2,1,16,2.1875,0.057,0.943,0.038,154.518,0.09,0.91,0.113,0.887
1381977671, 724#1381977598, 02_LizzyS, null, 02_L,2,6,20,0.417,6,15,0.312,4,5,0.104,2,0.75,0.6666667,17,1,0.021,3,0.062,3,0.062,203.671,4.243,30.212,0.629,233.883,4.873,5.316,0.871,10.184,7.309,46.78,4.2,1.777,2,46,48,8,2,-12,-10,0.042,0.958,44,67,0.396,0.604,0.105,0,0,0,3,20,2.2,0.045,0.955,0,207.649,0.094,0.906,0.182,0.818
1381977706, 724#1381977598, 03_LienH, null, 03_L,3,6,100,1.282,3,96,1.231,3,4,0.051,0,0.96,1,109,13,0.167,8,0.103,8,0.103,304.161,3.9,1105.962,14.179,1410.123,18.078,13.43,0.216,3.042,6.879,352.53,28.25,10.146,61,17,78,13,31,-9,22,0.782,0.218,105,70,0.6,0.4,0.16,7,1,8,0,51,2.0588236,0.114,0.886,0.114,310.947,0.172,0.828,0.133,0.867
1381977729, 724#1381977598, 04_SamC, null, 04_S,4,2,11,0.917,1,8,0.667,0,3,0.25,1,0.72727275,0,10,1,0.083,0,0,2,0.167,16.107,1.342,40.118,3.343,56.225,4.685,3.307,0.286,1.464,3.124,18.74,4,4.012,0,12,12,6,0,0,0,0,1,17,23,0.425,0.575,0.132,0,0,0,2,6,2.8333333,0.087,0.913,0,106.717,0.174,0.826,0.16,0.84
